symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSFT,2023-04-05,285.85,287.15,282.92,284.34,22064800,-1.51,-0.52825,285.065
MSFT,2023-04-04,287.23,290.45,285.67,287.18,25824300,-0.05,-0.01740765,287.6325
MSFT,2023-04-03,286.52,288.27,283.95,287.23,24883342,0.71,0.2478,286.4925
MSFT,2023-03-31,283.73,289.27,283.0,288.3,32766000,4.57,1.61,286.075
MSFT,2023-03-30,284.23,284.46,281.48,284.05,25053410,-0.18,-0.06332899,283.555
MSFT,2023-03-29,278.96,281.14,278.41,280.51,25087032,1.55,0.55564,279.755
MSFT,2023-03-28,275.79,276.14,272.05,275.23,21878647,-0.56,-0.20305,274.8025
MSFT,2023-03-27,280.5,281.46,275.52,276.38,26840212,-4.12,-1.47,278.465
MSFT,2023-03-24,277.24,280.63,275.28,280.57,28199962,3.33,1.2,278.43
MSFT,2023-03-23,277.94,281.06,275.2,277.66,36610900,-0.28,-0.10074,277.965
MSFT,2023-03-22,273.4,281.04,272.18,272.29,34873330,-1.11,-0.406,274.7275
MSFT,2023-03-21,274.88,275.0,269.52,273.78,34558704,-1.1,-0.40017,273.295
MSFT,2023-03-20,276.98,277.48,269.85,272.23,43466649,-4.75,-1.71,274.135
MSFT,2023-03-17,278.26,283.33,276.32,279.43,69527400,1.17,0.42047,279.335
MSFT,2023-03-16,265.21,276.56,263.28,276.2,54832140,11.0,4.14,270.3125
MSFT,2023-03-15,259.98,266.48,259.21,265.44,46028047,5.46,2.1,262.7775
MSFT,2023-03-14,256.75,261.07,255.86,260.79,33620300,4.04,1.57,258.6175
MSFT,2023-03-13,247.4,257.91,245.73,253.92,33339721,6.52,2.64,251.24
MSFT,2023-03-10,251.08,252.79,247.6,248.59,28333930,-2.49,-0.99172,250.015
MSFT,2023-03-09,255.82,259.56,251.58,252.32,26653400,-3.5,-1.37,254.82
MSFT,2023-03-08,254.04,254.54,250.81,253.7,17340217,-0.34,-0.13384,253.2725
MSFT,2023-03-07,256.3,257.69,253.39,254.15,21473200,-2.15,-0.83886,255.3825
MSFT,2023-03-06,256.43,260.12,255.98,256.87,24109849,0.445,0.17159,257.35
MSFT,2023-03-03,252.19,255.62,251.39,255.29,30760136,3.1,1.23,253.6225
MSFT,2023-03-02,246.55,251.4,245.61,251.11,24833646,4.56,1.85,248.6675
MSFT,2023-03-01,250.76,250.93,245.79,246.27,27565300,-4.49,-1.79,248.4375
MSFT,2023-02-28,249.07,251.49,248.73,249.42,22491000,0.35,0.14052,249.6775
MSFT,2023-02-27,252.46,252.82,249.39,250.16,21190042,-2.3,-0.91104,251.2075
MSFT,2023-02-24,249.96,251.0,248.1,249.22,24990905,-0.74,-0.29605,249.57
MSFT,2023-02-23,255.56,256.84,250.48,254.77,29219100,-0.79,-0.30913,254.4125
MSFT,2023-02-22,254.09,254.34,250.34,251.51,22491100,-2.58,-1.02,252.57
MSFT,2023-02-21,254.48,255.49,251.59,252.67,28397444,-1.81,-0.71125,253.5575
MSFT,2023-02-17,259.39,260.09,256.0,258.06,30000100,-1.33,-0.51274,258.385
MSFT,2023-02-16,264.02,266.74,261.9,262.15,29603616,-1.87,-0.70828,263.7025
MSFT,2023-02-15,268.32,270.73,266.18,269.32,28962163,1.0,0.37269,268.6375
MSFT,2023-02-14,272.67,274.97,269.28,272.17,37047924,-0.5,-0.18337,272.2725
MSFT,2023-02-13,267.64,274.6,267.15,271.32,44630921,3.68,1.37,270.1775
MSFT,2023-02-10,261.53,264.09,260.66,263.1,25818500,1.57,0.60031,262.345
MSFT,2023-02-09,273.8,273.98,262.8,263.62,42375102,-10.18,-3.72,268.55
MSFT,2023-02-08,273.2,276.76,266.21,266.73,54686049,-6.47,-2.37,270.725
MSFT,2023-02-07,260.53,268.77,260.08,267.56,50841400,7.03,2.7,264.235
MSFT,2023-02-06,257.44,258.3,254.78,256.77,22518000,-0.67,-0.26025,256.8225
MSFT,2023-02-03,259.54,264.2,257.1,258.35,29077300,-1.19,-0.4585,259.7975
MSFT,2023-02-02,258.82,264.69,257.25,264.6,39940437,5.78,2.23,261.34
MSFT,2023-02-01,248.0,255.18,245.47,252.75,31259912,4.75,1.92,250.35
MSFT,2023-01-31,243.45,247.95,242.95,247.81,26541100,4.36,1.79,245.54
MSFT,2023-01-30,244.51,245.6,242.2,242.71,25867400,-1.8,-0.73617,243.755
MSFT,2023-01-27,248.99,249.83,246.83,248.16,26498939,-0.83,-0.33335,248.4525
MSFT,2023-01-26,243.65,248.31,242.0,248.0,33454500,4.35,1.79,245.49
